Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,btype,force.cmsy,Comment,,
Mediterranean,Adriatic Sea,Merl_mer_AD,Large predators,Hake in Adriatic Sea,European hake,Merluccius merluccius,STECF 16-08,1970,2014,1978,2013,,,2569,,,0.16,,,,,,0.89,Medium,0.22,0.95,0.2,0.6,1997,0.01,0.3,0.01,0.3,2004,2013,CPUE,F,GSA 17-18-19-20 Fishstat - MEDITS 17-18-19. GS OK,,
Mediterranean,Adriatic Sea,Micr_pou_AD,Large predators,Blue whiting in Adriatic Sea,Blue whiting,Micromesistius poutassou,,1970,2014,1975,2013,,,,,,,,,,,,,Medium,0.21,1.09,0.5,0.9,1995,0.01,0.4,0.01,0.4,2004,2013,CPUE,T,"Catch=landings from FishStat (Italy, Croatia). CPUE from MEDITS. RF int 2000 0.01-0.4. GS OK, Thanasis source",,
Mediterranean,Adriatic Sea,Mull_bar_AD,Benthic fish & inv.,Red mullet in Adriatic Sea,Red mullet,Mullus barbatus,STECF 16-08,1970,2014,1975,2013,,,3439,,,0.41,,,,,,0.54,Medium,0.22,1.25,0.2,0.6,1990,0.01,0.4,0.01,0.4,2004,2013,CPUE,F,GSA 17 Fishstat - MEDITS 17 (From SGMED 2014). GS OK ,,
Mediterranean,Adriatic Sea,Obla_mel_AD,Benthic fish & inv.,Saddled seabream in Adriatic Sea,Saddled seabream,Oblada melanura,,1970,2014,1972,2014,,,,,,,,,,,,,Medium,0.68,0.88,0.2,0.6,1995,0.2,0.6,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia). RF int 1995 0.2-0.6, final 0.3. GS OK",,
Mediterranean,Adriatic Sea,Octo_vul_AD,Benthic fish & inv.,Common octopus in Adriatic Sea,Common octopus,Octopus vulgaris,,1970,2014,1995,2013,,,,,,,,,,,,,Medium,0.4,1,0.2,0.6,2005,0.2,0.6,0.01,0.3,2000,2013,CPUE,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia, Montenegro, Slovenia). GS start 1995 0.2-0.6, int 2005 0.2-0.6",,
Mediterranean,Adriatic Sea,Page_ery_AD,Benthic fish & inv.,Common pandora in Adriatic Sea,Common pandora,Pagellus erythrinus,,1970,2014,1970,2013,,,,,,,,,,,,,Medium,0.22,0.97,0.2,0.6,1996,0.01,0.3,0.01,0.3,2004,2013,CPUE,F,"Catch=landings from FishStat (Croatia, Italy, Slovenia). CPUE from MEDITS. RF final 0.3. GS OK add source",,
Mediterranean,Adriatic Sea,Pali_ele_AD,Benthic fish & inv.,Common spiny lobster in Adriatic Sea,Common spiny lobster,Palinurus elephas,,1970,2014,1972,2014,,,,,,,,,,,,,Low,NA,NA,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia). GS OK",,
Mediterranean,Adriatic Sea,Pect_jac_AD,Benthic fish & inv.,Scallop in Adriatic Sea,King scallop,Pecten jacobeus,,1972,2015,1972,2015,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,1990,0.01,0.4,0.01,0.3,NA,NA,CPUE,F,Catch=landings from FishStat. Final 0.3.,,
Mediterranean,Adriatic Sea,Pena_ker_AD,Benthic fish & inv.,Caramote prawn in Adriatic,Caramote prawn,Peneaus kerathurus,,1972,2015,1972,2015,,,,,,,,,,,,,High,NA,NA,0.5,0.9,1990,0.5,0.9,0.5,0.9,NA,NA,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Pset_max_AD,Benthic fish & inv.,Turbot in Adriatic Sea,Turbot,Scophthalmus maximus,,1970,2013,1970,2013,,,,,,,,,,,,,Medium,0.25,0.82,0.2,0.6,NA,NA,NA,NA,NA,2005,2014,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
