"Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","e.creep","btype","force.cmsy","Comment"
"Northeast Atlantic","Norwegian Sea","cod-coas","Large predators","Cod in Subareas I and II (Norwegian coastal waters cod)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-coas.pdf",1984,2015,1995,2015,,,,,,,,,,,,0.33,"Medium",0.34,0.78,0.5,0.85,2000,0.01,0.4,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Faroes","cod-farb","Large predators","Cod in Subdivision Vb2 (Faroe Bank)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-farb.pdf",1990,2015,1996,2015,,,,,,,,,,,,,"Medium",0.34,0.78,0.35,0.65,2002,0.01,0.4,"NA","NA",1996,2002,"NA","CPUE","F",
"Northeast Atlantic","Faroes","cod-farp","Large predators","Cod in Subdivision Vb1 (Faroe Plateau)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-farp.pdf",1959,2015,1961,2015,0.68,0.35,21000,40000,,0.32,,40000,,,,0.46,"Medium",0.34,0.78,0.35,0.65,"NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","cod-iceg","Large predators","Cod in Division Va (Icelandic cod)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-iceg.pdf",1955,2015,1955,2015,0.74,0.58,125000,160000,,,,220000,,,,0.27,"Medium",0.34,0.78,0.75,1,"NA","NA","NA",0.5,0.85,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Celtic Seas","cod-iris","Large predators","Cod in Division VIIa (Irish Sea)","Cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-iris.pdf",1968,2015,1968,2015,1.33,0.96,6000,10000,,0.37,,10000,,,,1.08,"Medium",0.34,0.78,0.35,0.65,1988,0.2,0.6,0.01,0.3,1978,1988,"NA","CPUE","F",
"Northeast Atlantic","Greater North Sea","cod-kat","Large predators","Cod in Division IIIa East (Kattegat)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-kat.pdf",1971,2015,1997,2015,,,,,,,,,,,,0.39,"Medium",0.34,0.78,0.35,0.65,"NA","NA","NA",0.15,0.4,1997,2001,"NA","CPUE","F",
"Northeast Atlantic","Rockall","cod-rock","Large predators","Cod in Division VIb (Rockall)","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/cod-rock.pdf",1984,2014,1995,2014,,,,,,,,,,,,,"Medium",0.34,0.78,0.5,0.85,"NA","NA","NA","NA","NA",1995,2000,"NA","CPUE","F",
"Northeast Atlantic","Celtic Seas","cod-scow","Large predators","Cod in Division VIa (West of Scotland) ","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/cod-scow.pdf",1981,2014,1981,2014,0.8,0.6,14000,22000,,0.19,,22000,,,,0.89,"Medium",0.34,0.78,0.35,0.65,2005,0.01,0.3,"NA","NA",1995,2000,"NA","CPUE","F",
"Northeast Atlantic","Greater North Sea","dab-nsea","Benthic fish & inv.","Dab in Subarea IV and Division IIIa","Common dab","Limanda limanda","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/dab-nsea.pdf",1950,2014,1983,2014,,,,,,,,,,,,,"Medium",0.48,1.09,0.35,0.65,2000,0.2,0.6,0.5,0.85,2000,2005,"NA","CPUE","F",
"Mediterranean","Sardinia","ENGRENC_SA","Plankton feeders","Anchovy in Sardinia","European anchovy","Engraulis encrasicolus","excel",1970,2014,1994,2009,,,,,,0.5,,,,,,1.3,"Medium",0.39,0.91,0.35,0.65,2000,0.01,0.4,0.01,0.3,2000,2005,,"CPUE","F",
